sys_id,u_company,claim_number,vendor_id,invoice_dt,post_dt,gross_amt,curr,tax_cd,cost_centre,gl_acct,descr,wo_number,state
f2a74de52e6b438,1000,RCTI-2026-4100,700026,2026-08-01,2026-09-01,31541.56,AUD,P1,CC1274,6000022,NBN claim wk31,WO4400000,Approved
95319855d9dc9f8,1000,RCTI-2026-4101,700059,2026-08-02,2026-09-02,24775.59,AUD,P1,CC1044,6000065,NBN claim wk32,WO4400001,Approved
11e20b86b0d549b,1000,RCTI-2026-4102,700006,2026-08-03,2026-09-03,26831.88,AUD,P1,CC1289,6000025,NBN claim wk33,WO4400002,Approved
3926305f28c105d,3000,RCTI-2026-4103,700041,2026-08-04,2026-09-04,28338.30,AUD,P1,CC1295,6000084,NBN claim wk34,WO4400003,Approved
0cb1e29658cda14,1000,RCTI-2026-4104,700003,2026-08-05,2026-09-05,27096.75,AU$,P1,CC1148,6000063,NBN claim wk31,WO4400004,Approved
8a6a63e24ede6a4,1000,RCTI-2026-4105,700037,2026-08-06,2026-09-06,15394.92,AUD,P1,CC1052,6000084,NBN claim wk32,WO4400005,Approved
a38fd54923a7369,1000,RCTI-2026-4106,700024,2026-08-07,2026-09-07,5443.85,AUD,P1,CC1288,6000017,NBN claim wk33,WO4400006,Approved
34b9b5d9e7769b1,2000,RCTI-2026-4107,700044,2026-08-08,2026-09-08,25920.61,AUD,P0,CC1238,6000084,NBN claim wk34,WO4400007,Approved
7403e43ec66a787,2000,RCTI-2026-4108,700020,2026-08-09,2026-09-09,12563.31,AUD,P1,CC1357,6000041,NBN claim wk31,WO4400008,Approved
930d6ea14f4733f,2000,RCTI-2026-4109,700034,2026-08-10,2026-09-10,24194.74,AUD,P0,CC1373,,NBN claim wk32,WO4400009,Approved
9be4bcf49b64a08,1000,RCTI-2026-4110,700008,2026-08-11,2026-09-11,24987.63,AUD,P1,CC1387,6000053,NBN claim wk33,WO4400010,Approved
eeeacbe26e87555,2000,RCTI-2026-4111,700027,2026-08-12,2026-09-12,2698.62,AUD,P1,CC1391,6000081,NBN claim wk34,WO4400011,Approved
ca0213592b1d3f2,2000,RCTI-2026-4112,700022,2026-08-13,2026-09-13,33633.18,AUD,P0,CC1296,6000068,NBN claim wk31,WO4400012,Approved
d70820f119a72d1,1000,RCTI-2026-4113,700018,2026-08-14,2026-09-14,23203.74,AUD,P1,CC1031,6000099,NBN claim wk32,WO4400013,Approved
a5aa3c84f426dcb,3000,RCTI-2026-4114,700044,2026-08-15,2026-09-15,"1,240.00 AUD",AUD,P0,CC1366,6000059,NBN claim wk33,WO4400014,Approved
ab2cd31e3151288,2000,RCTI-2026-4115,700002,2026-08-16,2026-09-16,45201.58,AUD,P0,CC1086,6000088,NBN claim wk34,WO4400015,Approved
7e62aa01df9fd78,1000,RCTI-2026-4116,700014,2026-08-17,2026-09-17,37072.19,AUD,P1,CC1378,6000041,NBN claim wk31,WO4400016,Approved
641547965dc9f50,2000,RCTI-2026-4117,700006,2026-08-18,2026-09-18,8694.17,AUD,P0,CC1281,6000045,NBN claim wk32,WO4400017,Approved
230d977e2257159,2000,RCTI-2026-4118,700056,2026-08-19,2026-09-19,26792.85,AUD,P0,CC1183,6000097,NBN claim wk33,WO4400018,Approved
616499ce25a7605,1000,RCTI-2026-4119,700010,2026-08-20,2026-09-20,4762.73,AUD,P1,CC1118,6000094,NBN claim wk34,WO4400019,Approved
03169093bbbe9ea,2000,RCTI-2026-4120,700054,2026-08-21,2026-09-21,28627.17,AUD,P0,CC1144,6000010,NBN claim wk31,WO4400020,Approved
6b4013e254b0c4e,3000,RCTI-2026-4121,700024,2026-08-22,2026-09-22,29602.66,AUD,P0,CC1064,6000098,NBN sub-contract claim — northern region backlog catch-up,WO4400021,Approved
83f73f1dbf4a8b2,3000,RCTI-2026-4122,700042,2026-08-23,2026-09-23,32732.83,AUD,P1,CC1233,6000097,NBN claim wk33,WO4400022,Approved
8f2c6eccc4169a3,2000,RCTI-2026-4123,700026,2026-08-24,2026-09-24,19661.85,AUD,P1,CC1246,6000091,NBN claim wk34,WO4400023,Approved
0fef79266836886,1000,RCTI-2026-4124,700005,2026-08-25,2026-09-25,47277.08,AUD,P0,CC1083,6000024,NBN claim wk31,WO4400024,Approved
99c9430570dc195,1000,RCTI-2026-4125,700007,2026-08-26,2026-09-26,861.00,AUD,P1,CC1274,6000022,NBN claim wk32,WO4400025,Approved
5d158a2f2ee4e45,3000,RCTI-2026-4126,700002,2026-08-27,2026-09-27,4165.38,AUD,P1,CC1314,6000058,NBN claim wk33,WO4400026,Approved
a268aa82607679d,2000,RCTI-2026-4127,700023,2026-08-01,2026-09-01,29247.46,AUD,P0,CC1062,6000024,NBN claim wk34,WO4400027,Approved
7cf2072d953ee26,2000,RCTI-2026-4128,700031,2026-08-02,2026-09-02,23662.80,NZ,P1,CC1073,6000023,NBN claim wk31,WO4400028,Approved
57b6fb7bfeaa155,3000,RCTI-2026-4129,700017,2026-08-03,2026-09-03,23417.02,AUD,P1,CC1264,6000012,NBN claim wk32,WO4400029,Approved
f373ca53488f876,3000,RCTI-2026-4130,700024,2026-08-04,2026-09-04,7762.31,AUD,P1,CC1388,6000077,NBN claim wk33,WO4400030,Approved
fa7f0ea4c4f9b06,3000,RCTI-2026-4131,700056,2026-08-05,2026-09-05,5141.15,AUD,P0,CC1265,6000056,NBN claim wk34,WO4400031,Approved
2ac3444e883a1d4,2000,RCTI-2026-4132,700050,2026-08-06,2026-09-06,11354.68,AUD,P0,CC1325,6000038,NBN claim wk31,WO4400032,Approved
cfbf3369cfc8652,1000,RCTI-2026-4133,700052,2026-08-07,2026-09-07,12137.13,AUD,P0,CC1378,6000039,NBN claim wk32,WO4400033,Approved
8483f8b332dd331,2000,RCTI-2026-4134,700023,2026-08-08,2026-09-08,35316.84,AUD,P1,CC1143,6000070,NBN claim wk33,WO4400034,Approved
3192b7042594052,3000,RCTI-2026-4135,700039,2026-08-09,2026-09-09,45949.69,AUD,P0,CC1370,6000054,NBN claim wk34,WO4400035,Approved
f979d04f47aebdd,2000,RCTI-2026-4136,700006,2026-08-10,2026-09-10,11244.80,AUD,P1,CC1240,6000035,NBN claim wk31,WO4400036,Approved
3451d015675f6ad,2000,RCTI-2026-4137,700040,2026-08-11,2026-09-11,47304.49,AUD,P1,CC1245,6000093,NBN claim wk32,WO4400037,Approved
ccb573d5810d60e,3000,RCTI-2026-4138,700006,2026-08-12,2026-09-12,40203.69,AUD,P1,CC1198,6000035,NBN claim wk33,WO4400038,Approved
e39639b7a605a91,1000,RCTI-2026-4139,700028,2026-08-13,2026-09-13,38057.74,AUD,P0,CC1044,6000060,NBN claim wk34,WO4400039,Approved
